indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
211,Inspecciones de abastecimiento en instalaciones de hidrocarburos,fb4c7976-d175-49ad-99ba-38ce6663e473,ERROR,2,1
212,Instalaciones de hidrocarburos - Ductos Res. 319/1993,d4148c4b-6568-4188-a016-04aed259c21f,ERROR,2,2
213,Instalaciones de hidrocarburos - Instalaciones empadronads Res. 318/2010,c8d8866a-2eee-49fc-b643-73f0a7457396,ERROR,2,2
214,Instalaciones de hidrocarburos - Instalaciones Res. 319/1993 (P. Característicos),0433a420-8ea4-4a42-bb55-e1e54d4c0c5c,ERROR,2,2
215,Instalaciones de hidrocarburos - Puertos regasificadores de GNL,27880d31-8cdc-4d23-bd5a-40efabdc5d29,ERROR,2,2
216,Instituciones del Sistema Nacional de Ciencia y Tecnología Argentino,d0f68eab-9bf1-4bc7-b736-0d098601a2f2,ERROR,2,2
217,Intercambio Comercial Argentino,975b2709-da81-4aa0-abfc-9411288fff83,ERROR,2,3
218,Internos del Servicio Penitenciario Federal - SPF,8cfd1109-e7a4-4685-9226-cc8c4e61e038,ERROR,2,33
219,Inversión Bruta Interna Equipo Durable de Producción Importado en millones de pesos de 1960,b6612ed6-6ac4-4d14-8128-43dc00b2ca77,ERROR,2,1
220,Inversión Bruta Interna Equipo Durable de Producción Nacional en millones de pesos de 1960,32136a2f-0a7c-4727-a4e1-268f148b31a9,ERROR,2,1
221,Inversión Bruta Interna en millones de pesos de 1960,1b05fb81-22af-4b8d-be76-e45578faf43c,ERROR,2,1
222,Inversiones en mercado de hidrocarburos upstream,27e52f51-35f5-4c22-bf0b-c3a885ea81e6,ERROR,2,4
223,Kilómetros de fibra óptica previstos y localidades contempladas por provincia,bc840bf6-e18a-44d1-957c-fda3a27288fa,ERROR,2,3
