indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
75,"Producto Interno Bruto Electricidad, Gas y Agua en millones de pesos de 1960",881186ec-cee1-4eb1-8d36-fdadb94143b0,ERROR,1,1
76,Producto Interno Bruto Construcciones en millones de pesos de 1960,a4832e16-f865-489b-9546-09eeb98ea660,ERROR,1,1
77,"Producto Interno Bruto Comercio al por Mayor, Menor, Restaurantes y Hoteles en millones de pesos de 1960",56eade23-3162-43d4-a7a9-add3cd7badf2,ERROR,1,1
78,"Producto Interno Bruto Agricultura, Caza, Silvicultura y Pesca en millones de pesos de 1960",adb8ab7b-672e-46a3-9a94-eb092c9131c8,ERROR,1,1
79,Producto Interno Bruto Agrícola. Subtotal Agrícola en millones de pesos de 1960,d5c77dc8-1b64-4e34-89ca-2865007906fa,ERROR,1,1
80,Inversión Bruta Interna Equipo Durable de Producción Nacional en millones de pesos de 1960,32136a2f-0a7c-4727-a4e1-268f148b31a9,ERROR,1,1
81,Inversión Bruta Interna Equipo Durable de Producción Importado en millones de pesos de 1960,b6612ed6-6ac4-4d14-8128-43dc00b2ca77,ERROR,1,1
82,Inversión Bruta Interna en millones de pesos de 1960,1b05fb81-22af-4b8d-be76-e45578faf43c,ERROR,1,1
83,Oferta y Demanda Global en millones de pesos de 1970,5790a2b6-5650-4352-bdc6-8905b5afe610,ERROR,1,1
84,Oferta y Demanda Global en australes a precios de 1970,76c1a7b5-ce6d-49c9-8762-197ab4720ee3,ERROR,1,1
85,Oferta y Demanda Global en millones de pesos de 1960,82e617d2-cec2-426e-9a6e-da9ea3b48a41,ERROR,1,1
86,Saldo comercial clasificado el Nomenclador Común del Mercosur (NCM),24c72879-a38e-4108-9569-f134a2ba6247,ERROR,1,3
87,Importaciones según el Nomenclador Común del Mercosur (NCM),58cb4b88-f67f-449e-8de8-3ab2592a5e9a,ERROR,1,3
88,Exportaciones según el Nomenclador Común del Mercosur (NCM),54eb613a-090a-4b77-8f75-6358a8ddf839,ERROR,1,3
